article_content,labels
july regime forces fended attack rebel fighters zahra neighbourhood aleppo reports heavy casualties sides tags syria aleppo regime forces rebel forces nusra front syrian troops pro government gunmen repelled offensive rebels militants neighbourhood northern city aleppo tuesday opposition activists claimed army carried chlorine gas attack another part city state media activists said offensive led members al qaedas affiliate syria nusra front began late monday suicide attack followed ground offensive led capture several buildings western zahra neighborhood activists said city witnessing fierce battles shelling daily intense ibrahim khatib activist state news agency sana said troops able destroy vehicle rigged explosives reached target zahra added troops repelled attack killing wounding dozens insurgents zahra parts aleppo britain based syrian observatory human rights said suicide attack carried members nusra front killed troops pro government gunmen group added insurgents killed since monday zahra former industrial commercial hub aleppo carved government rebel held neighbourhoods since july syrias largest city devastated three years fighting many residents long fled city witnessing fierce battles shelling daily intense said aleppo based activist ibrahim khatib via skype situation bad residents living difficult humanitarian conditions opposition fighters islamic militants launched series attacks aleppo since last week capturing citys scientific research center used military base activists said syrian troops pro government gunmen trying retake base luck far chlorine gas local coordination committees observatory said government troops used chlorine gas tuesday attempt regain control scientific research center observatorys chief rami abdurrahman said casualties among militants since wearing masks opposition government blamed chlorine gas attacks past fighting part new coordinated offensive aleppo newly formed coalition nusra front factions including ultra conservative ahrar al sham group coalition calls ansar al sharia said seeks liberate aleppo iran assads strongest regional ally extended billions dollars credit since crisis began march northwestern province idlib nusra front members kidnapped iraqi christian priest diaa aziz village yacoubiyeh observatory said said aziz kidnapped saturday whereabouts known bankrolled iran also tuesday syrias parliament approved draft law ratifying new iranian credit line agreement signed may syrian commercial bank export development bank iran deal worth around billion aims fund imports goods commodities well projects iran president bashar assads strongest regional ally extending billions dollars credit since crisis began march united states saudi arabia several countries persian gulf suspect tehran also shipping weapons another development syrian tribal leaders secret talks un special envoy syria senior us general form coalition similar called sunni awakening us occupation iraq according independent however interviews uk newspaper tribal leaders said wary exploited external powers blamed countrys current situation syrias conflict killed people wounded least million according un half syrias prewar population million forced leave homes,0
july abu abdelrahman salqeen leader syrian rebel group ahrar al sham killed tuesday suicide bombing targeted group second time less year tags syria ahrar al sham nusra front suicide bombing staffan de mistura southern front alliance regime forces hezbollah zabadani islamic state group airstrikes double suicide bombing northern syria tuesday targeted headquarters islamist rebel group killing leader several high ranking members attack second time less year bombing takes leadership ahrar al sham free men levant one powerful islamic groups fighting president bashar assads forces rival islamic state group holds wide swaths territory syria iraq tuesdays attack struck headquarters ahrar al sham northwest town idlib killing groups leader abu abdelrahman salqeen syrian observatory human rights said six ahrar al sham members also died local coordination committees activists also reported attack immediate claim responsibility bombing attack came days senior member ahrar al sham published op ed piece washington post denied espousing al qaedas ideology portrayed group moderate islamist alternative syria claiming key defeating september ahrar al shams leader hassan abboud killed along several leading members group similar bombing also idlib province ahrar al sham largest group jaysh al fateh army conquest coalition islamist moderate rebel groups took control regime held stronghold idlib march year according report al monitor various groups jaysh al fateh trouble agreeing unified approach governing territory captured large group coalition al qaeda linked nusra front reportedly attacked sharia court buildings police stations affiliated ahrar al sham dominated sharia authority managing liberated areas idlib kafr nabl july syrian forces backed lebanese hezbollah fighters entered rebel held mountain resort near border lebanon follows protests idlib countryside nusra front nusra fighters suppressed reportedly use lethal force bomb mosque last friday killed least members group according reuters un envoy meets southern rebels un special envoy syria crisis staffan de mistura met leaders southern front alliance southern syria tuesday first time according reuters southern front alliance controls significant amount territory capital damascus southern border made number significant gains regime forces last months de mistura began extensive round meetings parties directly indirectly involved conflict may eye ending brutal four year civil war according office plans finalise plans end july reach political solution conflict regime offensive tightens grip zabadani state media says syrian forces backed lebanese hizbollah fighters entered rebel held mountain resort near border lebanon day launching major offensive capture town state run syrian tv said troops entered town zabadani western jamaiyat district sunday hezbollahs al manar tv ran exclusive footage purportedly showing hezbollah fighters town showed scenes heavy fighting including explosions mushrooms white smoke according sources regimes latest attempt secure zabadani started days ago meshaal killed airstrike hasakeh composed several jihadi hymns celebrating martyrdom holy war regime warplanes helicopters launched least air raids yesterday rebel held syrian town zabadani west damascus short distance lebanese border according monitoring group london based syrian observatory human rights said least raids warplanes zabadani least barrel bombs dropped helicopters far today raids come forces regimes army hezbollah engaged th day heavy fighting rebel forces area control strategic town spokesperson zabadani revolution coordination committee told al araby al jadeed monday forces regimes army hezbollah made several attempts advance town south attempts repelled zabadanis capture would tighten hezbollahs grip syrian territories bordering lebanon strengthen syrian governments control beirut damascus highway town held rebels since shortly syrias crisis began march us airstrikes target syrian observatory human rights reported death two senior islamic state group leaders suspected us airstrike monday abu osama al iraqi amer al rafdan killed believed us airstrikes hasakeh saudi national maher meshaal known abu hajar al hadrami also killed airstrikes hasakeh according supporters twitter cbs reported meshaal composed several jihadi hymns celebrating martyrdom holy war airstrikes come week president barrack obama announced us would intensify campaign airstrikes northern syria,1
july least civilians including three children killed regime barrel bomb attacks town al bab held extremist islamic state group monitoring group said tags syria islamic state group civilians barrel bombs syrian observatory human rights least civilians among three children killed thursday regime barrel bomb attacks extremist held town northern syria monitoring group said government helicopters dropped crude indiscriminate weapons al bab lies northern province aleppo held extremist islamic state group according syrian observatory human rights since saturday least civilians killed aerial attacks town observatory head rami abdel rahman told afp intensified air attacks regime forces al bab aimed foiling efforts multiple fronts including nearby kweyris military airport besieged year al bab strategically important one iss closest positions regime held parts aleppo said may civilians killed barrel bomb attacks town syrias embattled regime heavily bombarded areas aleppo province fallen control west idlib province alliance rebels islamist fighters carried heavily shelled provinces last two regime held shia villages second consecutive day army conquest opposition coalition includes al qaedas syria affiliate al nusra front began assault fuaa kafraya wednesday dozens shells fell overnight wednesday thursday morning fuaa kafraya largely inhabited shia muslims observatory said abdel rahman said casualties immediate toll army conquest said wednesday attack response offensive army lebanese shia movement hezbollah zabadani last rebel held bastion along syrian lebanese border clashes zabadani raged thursday according observatory documented heavy shelling town since early july least people killed syrias multi front conflict began anti government protests devolved civil war,1
july syrian rebels launched huge offensive government held areas northwestern syria bid advance towards coastal region vital president bashar al assads control western syria tags syria idlib bashar al assad sohr al qaeda al nusra syrian rebels launched huge offensive government held areas north western syria bid advance towards coastal region vital president bashar al assads control western syria monitoring group said tuesday syrian observatory human rights said insurgents including al qaeda linked nusra front captured government held positions outside town jisr al shughour pushed northern tip sahl al ghab plain overnight rami abdulrahman runs uk based observatory said government forces launched counter attack recovered lost ground sahl al ghab reuters reported military source said battles ongoing area army militant attackers terrorists insurgents including nusra front captured jisr al shughour may part wider offensive drove syrian government forces nearly northwestern province idlib rebels advance western province regime forces retreated elsewhere syrian troops kurdish fighters ousted islamic state group hasakeh tuesday month extremists launched assault north eastern city monitoring group said government troops kurdish forces share control city battling since june push forces city capital hasakeh province expelled army zuhur last district present hasakeh fighters pushed southern outskirts city said syrian observatory human rights director rami abdel rahman least fighters among minors killed fight hasakeh well strikes us led coalition outside city said another soldiers pro regime militiamen several dozen kurdish forces also killed state news agency sana said syrias armed forces dealt great blows daesh terrorists zuhur tuesday say extremists pushed city army units advanced zuhur executed special operation terrorist hotbeds reported attacked hasakeh city several times latest assault serious yet forces initially seized several districts southern part city kurdish fighters regime troops mobilising observatory said used least car bombs several suicide bombers month long campaign,0
july israeli airstrike government held village syrian side golan heights ceasefire line killed five pro regime forces wednesday monitoring group said tags syria golan heights israeli airstrike hezballah sohr israeli airstrike government held village syrian side golan heights ceasefire line killed five pro regime forces wednesday monitoring group said israeli plane hit car inside town hader killing two men lebanese shia group hezballah three men pro regime popular committees town said rami abdel rahman director syrian observatory human rights hader druze village lies along ceasefire line israeli occupied portion golan heights plateau west border damascus province northeast israeli army spokeswoman declined comment incident according hezballahs official television station al manar two members syrias pro regime militia national defence forces killed israeli drone targeted car entrance hader quneitra province national defence forces fighters operating throughout syria lebanons hezballah close ally syrian government dispatched fighters bolster army uprising began march rebel fighters including islamists surrounded village hader june fierce clashes loyalist militia area israels significant druze minority expressed concern brethren syria would targeted rebels druze secretive offshoot shia islam officials say northern israel another israeli occupied golan israel seized square kilometres square miles golan heights neighbouring syria six day war,0
august syrian military aircraft crashed bombing run rebel held northwestern town ariha monday leaving least people dead monitoring group said tags syria idlib ariha assad war government air raids northwestern town syria subsequent crash syrian warplane slammed residential area killed least people monday activists said raids town ariha came amid intense clashes government forces insurgents northwestern province idlib central region hama town government stronghold captured opposition fighters islamic militants may government forces suffered setbacks idlib province since march including loss provincial capital name activist group known local coordination committees said warplane crashed busy market adding immediately clear whether shot lcc said people killed many others wounded rami abdurrahman heads another activist group britain based syrian observatory human rights said plane crashed town centre destroying several homes observatory later said people killed wounded ariha today facebook page posted photo showing least seven buildings reduced rubble narrow street said people killed identified yet group also listed wounded including nine women discrepancies different casualty figures reported could reconciled observatory lcc said time crash town attack syrian president bashar assads air force amateur video posted online activists showed several damaged buildings well parts plane crashed syrias civil war began march united nations says war killed people wounded least one million left many displaced internally neighbouring countries four million syrians fled civil war become refugees surrounding region,0
july syrian regime killed least people town jayrud near damascus revenge shelling attack downed pilot killed rebels tags syria warplane shelling pilot jayrud qalamoun jaish al islam al nusra front least people killed syrian regime shelling rebel held town northeast syrian capital downed government pilot executed rebels bombardment hit town jayrud saturday islamist rebels killed pilot captured forced eject friday least two killed jayrud medical staff head syrian observatory human rights rami abdel rahman said prominent figures jayrud local truce regime least two years neither fired added jaish al islam spokesman islam alloush said friday al nusra front executed air force pilot jayrud plane shot jaish al islam surprised members al nusra killing pilot whose plane shot pledged hand us alloush said twitter alloush identified pilot lieutenant nawras hassan posted interview killed images captured pilot released twitter friday statement incident syrian state media said attack would go unpunished added plane crashed due technical failure training mission rebel groups jayrud kilometres damascus include saudi backed jaish al islam hardline ahrar al sham al qaeda affiliate al nusra front jaish al islam like al qaida affiliate considered terrorist group syrian government russia several government aircraft shot rebels crashed technical faults since civil war erupted five years ago also saturday jaish al islam said shot regime drone near village al bahariya eastern ghouta conflict killed people displaced millions,0
april youssef diab paula astih najla habriri chemical massacre idlib defies world beirut london warplanes releasing toxic gas targeted tuesday town khan sheikhoun idlib northwestern syria massacring dozens people injuring hundreds many pointed fingers syrian regime denied responsibility attack described massacre fabricated fake accusations armed fighters syrian observatory human rights said attack believed carried syrian regime russian jets killed least people including children ages observatory added warplanes continued bomb town following attack took place near medical center victims first aggression treated attack also caused many people choke foam mouth observatory added high ranking syrian opposition official told asharq al awsat gas used tuesdays massacre never used director levant institute strategic affairs lisa sami nader said crime constitute turning point syrian developments embarrassed russians issue chemicals meanwhile national coalition syrian revolution opposition forces said attack killed people including children women injured others military source free syrian army told asharq al awsat attack targeted popular market center khan sheikhoun attack targeted civilians order push residents idlib suburbs migrate outside syrian border source asserted un war crimes investigators looking alleged chemical weapons attack syrian town idlib security council expected hold meeting wednesday discuss matter organization prohibition chemical weapons opcw said seriously concerned attack said fact finding mission ffm process gathering analyzing information available sources several countries also condemned attack white house considered unacceptable us president donald trump said heinous actions bashar assad regime consequence past administrations weakness irresolution part french president francois hollande directly blamed syrian regime forces attack high representative european union foreign affairs security policy federica mogherini said regime assad bears primary responsibility commenting happened khan sheikhoun un special envoy syria staffa de mistura said horrific im sure security council meeting clear identification responsibilities accountability youssef diab paula astih najla habriri,1
april bus bombing marks end tragic evacuation deal syria two syrian mothers opposite sides two year siege evacuation blockade supposed end suffering case wake bombing outside city aleppo noha shiite samira sunni besieged nearly two years side syrias civil war weekend finally escaped suffocating blockades evacuation agreement ordeal waited two transit points miles apart outside aleppo bomb attack hit nohas bus convoy killing people including dozens children ambulances rushed wounded new buses arrived two convoys eventually reached destinations one regime territory rebel territory hours leading saturdays attacks two women spoke reuters left behind families split likelihood would never return home reuters allowed back past security try find noha blast lost contact samira speaking earlier another evacuees phone weve lost everything hope go back one day dont expect wil said noha asking identified last name noha left al foua one two shiite villages besieged syrian insurgents idlib province two youngest children people deal syrian regime armed opposition exchange sunni residents rebel fighters regime besieged town madaya near damascus samiras hometown given safe passage bussed idlib province rebel stronghold via aleppo thousands syrians evacuated besieged areas recent months deals bashar al assads regime rebels fighting six years unseat rebels say amounts forced displacement assads opponents syrias main urban centers west country engenders demographic change opposition syrias population sunni little choice leave scared said samira traveling five adult sons feared sons would arrested forced join syrian regime forces fight troops officials damascus regime moved town like noha samira relieved escaped crushing siege caused widespread hunger case madaya starvation left everything behind including family owned three houses farmland three shops madaya town dont single syrian pound said daughter pregnant third child stayed madaya husband vowed live die said samira heard husband nearly four years arrested regime nothing left place stay idlib camps samira said would try migrate joining million syrian refugees left since war broke million internally displaced dont want idlib know one also dont know jets might bomb said referring heavy bombardment russian syrian warplanes rebel held areas idlib including recent alleged poison gas attack plan try get turkey leave syria good noha also heading unknown dont know well live whether authorities anything set least want safe children jump night sound rockets want security wherever take us said adult son daughter stayed al foua hoping leave next stage evacuation deal nohas husband killed say women said would never left hometowns strangling sieges caused severe food medicine shortages gradual change control area saturday deadly explosion killed least including children regime supporters opposition fighters evacuation point adding new urgency widely criticized operation blast ripped bus depot al rashideen area thousands regime loyalists evacuated day waited restlessly hours opposition fighters guarded area negotiators bickered completion transfer deal meters away hundreds evacuees pro rebels areas also loitered walled parking lot guarded regime troops asharq al awsat asharq al awsat worlds premier pan arab daily newspaper printed simultaneously day four continents cities launched london asharq al awsat established decisive publication pan arab international affairs offering readers depth analysis exclusive editorials well comprehensive coverage entire arab world,1
posted april asharq al awsat english six killed aleppo bombing evacuation syrian towns resumes six people killed dozens others wounded blast rocked northern syrian city aleppo time complex evacuation deal carried kilometers away rashidin southwestern suburb city syrian state tv said explosive device went northern city aleppo killing six people wounding others provide details wednesdays blast regime held salaheddin neighborhood opposition media groups including aleppo today said explosion occurred near mosque funeral regime fighter aleppo divided regime rebel held districts years regime forces managed drive rebels city december russian backed offensive contested areas remain meanwhile widely criticized evacuation thousands syrians four besieged areas resumed wednesday state media activists said days bombing killed evacuees delayed population transfer central military media said residents two pro regime villages foua kafarya left wednesday buses bound regime controlled aleppo another buses carrying people including opposition fighters left madaya zabadani near damascus heading toward northern rebel held idlib province opposition run syrian observatory human rights also reported transfer said includes armed men rebels regime mostly gunmen remained zabadani process resumed people leaving foua kafraya dawn nearly leaving zabadani two rebel held areas head britain based monitoring group rami abdel rahman told afp security tightened wednesdays departures several dozen armed rebel fighters stood guard marshalling area buses parked afp correspondent said vehicles carefully searched repeated delays first phase deal began friday hours first two batches reached exchange points massive explosion struck near buses carrying evacuees pro regime areas killing mostly women children many rebel fighters guarded buses also killed one claimed responsibility attack regime blamed rebels transfer deal overseen united nations critics say string evacuations could see people moved across battle lines next days rewards siege tactics amounts forced displacement along political sectarian lines four areas siege years fate linked series reciprocal agreements un says hindered aid deliveries asharq al awsat english asharq al awsat worlds premier pan arab daily newspaper printed simultaneously day four continents cities launched london asharq al awsat established decisive publication pan arab international affairs offering readers depth analysis exclusive editorials well comprehensive coverage entire arab world,1
